Movie Title,Year,Score,Directors,Cast,Consensus
Heels,2021,94,"Michael Waldron, Mike O'Malley, Julie Yorn, Rick Yorn","Stephen Amell, Alexander Ludwig, Chris Bauer, Alison Luff","“Heels” is a story about the men and women who chase their dreams in the world of
small-town pro wrestling. Set..."
Teenage Bounty Hunters,2020,94,,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams",Twin sisters Blair and Sterling balance teen life at an elite Southern high school with an unlikely new career as...
Sex Education,2019,93,"Jamie Campbell, Ben Taylor, Laurie Nunn, Runyararo Mapfumo","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Aimee Lou Wood","Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance..."
BoJack Horseman,2014,93,"Steven A. Cohen, Noel Bright, Will Arnett, Aaron Paul","Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul","A humanoid horse, BoJack Horseman -- lost in a sea of self-loathing and booze -- decides it's time for a..."
Never Have I Ever,2020,93,"Mindy Kaling, Lang Fisher, Howard Klein, David Miner","Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison",The complicated life of a first-generation Indian-American teenager....
Peaky Blinders,2013,93,"Otto Bathurst, Anthony Byrne","Cillian Murphy, Natasha O'Keeffe, Paul Anderson, Sophie Rundle","Britain is a mixture of despair and hedonism in 1919 in the aftermath of the Great War. Returning soldiers, newly..."
Cabinet of Curiosities,2022,93,"Guillermo del Toro, J. Miles Dale, Gary Ungar",Guillermo del Toro,An anthology of sinister stories told by revered horror creators....
Warrior,2019,93,"Brad Kane, Danielle Woodrow, Jonathan Tropper, Justin Lin","Andrew Koji, Jason Tobin, Olivia Cheng, Kieran Bew",A crime drama that takes place in the latter half of the 19th century during brutal gang wars in San...
Cobra Kai,2018,93,"Josh Heald, Jon Hurwitz, Hayden Schlossberg, James Lassiter","Ralph Macchio, William Zabka, Courtney Henggeler, Xolo Maridueña","Thirty four years after events of the 1984 All Valley Karate Tournament, a down-and-out Johnny Lawrence seeks redemption by reopening..."
You,2018,92,"Greg Berlanti, Sera Gamble, Sarah Schechter, Leslie Morgenstein","Penn Badgley, Tati Gabrielle, Charlotte Ritchie, Lukas Gage","What would you do for love? For a brilliant male bookstore manager who crosses paths with an aspiring female writer,..."
Sweet Tooth,2021,92,"Jim Mickle, Robert Downey Jr., Susan Downey, Amanda Burrell","Christian Convery, Nonso Anozie, Adeel Akhtar, Stefania Owen","On a perilous adventure in a post-apocalyptic world, a boy who's half-human and half deer searches for a new beginning..."
Dead Boy Detectives,2024,92,"Steve Yockey, Beth Schwartz, Jeremy Carver, Greg Berlanti","George Rexstrew, Jayden Revri, Kassius Nelson, Yuyu Kitamura","Two teenage ghosts work alongside a clairvoyant to solve mysteries for their supernatural clientele, until a powerful witch complicates their..."
Criminal: UK,2019,92,"Jim Field Smith, George Kay","Katherine Kelly, Lee Ingleby, Nicholas Pinnock, Mark Stanley","In a grueling interview, detectives pressure a taciturn doctor to confess to a murder...."
Tribes of Europa,2021,92,,"Emilio Sakraya, Henriette Confurius, David Ali Rashed","In 2070, three siblings set out to change the fate of Europe after a global catastrophe fractures it into countless..."
Dragon Age: Absolution,2022,92,"Mairghread Scott, Matt Goldman, John Epler, Chris Bain","Kimberly Brooks, Matthew Mercer, Ashly Burch, Sumalee Montano","With great power at stake, a group of rebel mages and thieves goes head to head against a sinister force..."
Stranger Things,2016,91,"Matt Duffer, Ross Duffer, Shawn Levy, Dan Cohen","Winona Ryder, David Harbour, Millie Bobby Brown, Finn Wolfhard","Mysteries unravel in a small Midwestern town in the 1980s, involving supernatural forces, secret experiments and one strange girl...."
Kevin Can F**k Himself,2021,91,"Colin Walsh, Nina Jack, Rashida Jones, Will McCormack","Annie Murphy, Eric Petersen, Mary Hollis Inboden, Alex Bonifer","""Kevin Can F... Himself"" is a dark comedy that alternates between traditional multi-camera sitcom and single-camera drama. Set in Worcester,..."
One Day,2024,91,"Molly Manners, Luke Snellin, John Hardwick, Kate Hewitt","Leo Woodall, Ambika Mod, Amber Grappy, Tim McInnerny","After graduation, Emma and Dexter go their separate ways; however, fate leads to the unexpected...."
The Last Kingdom,2015,91,"Gareth Neame, Nigel Marchant, Stephen Butchard","Alexander Dreymon, Emily Cox, Timothy Innes, Millie Brady","As a child, Uhtred witnessed his father being killed and the Saxon army defeated by invading troops. Danish warlord Earl..."
